campaign,instance,family,expected_result,cadical_result,kissat_result,lkk_cadical_result,lkk_kissat_result,lkk_none_result,lkk_none_structural,harvest_boxes,harvest_resources,structural_unsat_detected,structural_refutation_conflict,lemma_candidates,definite_mismatch,passed
expanded,006_overlapping_hall_violation_scale8_phase4b.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,UNKNOWN,17,17,True,False,0,False,True
expanded,007_overlapping_hall_violation_scale9_phase4b.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,UNKNOWN,19,19,True,False,0,False,True
expanded,008_overlapping_hall_violation_scale10_phase4b.cnf,overlapping_hall_violation,UNSATISFIABLE,TIMEOUT,UNSATISFIABLE,TIMEOUT,UNSATISFIABLE,UNKNOWN,UNKNOWN,21,21,True,False,0,False,True
expanded,009_overlapping_hall_violation_scale11_phase4b.cnf,overlapping_hall_violation,UNSATISFIABLE,TIMEOUT,UNSATISFIABLE,TIMEOUT,UNSATISFIABLE,UNKNOWN,UNKNOWN,23,23,True,False,0,False,True
expanded,010_capacity2_violation_scale3_phase4b.cnf,capacity2_violation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
expanded,011_capacity2_violation_scale4_phase4b.cnf,capacity2_violation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
expanded,012_capacity2_violation_scale5_phase4b.cnf,capacity2_violation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
expanded,013_capacity2_violation_scale6_phase4b.cnf,capacity2_violation,UNSATISFIABLE,TIMEOUT,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
expanded,014_capacity2_violation_scale7_phase4b.cnf,capacity2_violation,UNSATISFIABLE,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,UNKNOWN,UNKNOWN,15,7,True,False,0,False,True
expanded,015_capacity2_violation_scale8_phase4b.cnf,capacity2_violation,UNSATISFIABLE,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,UNKNOWN,UNKNOWN,17,8,True,False,0,False,True
expanded,016_satisfiable_capacity_control_scale8_phase4b.cnf,satisfiable_capacity_control,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,UNKNOWN,FEASIBLE,8,8,False,False,0,False,True
expanded,017_satisfiable_capacity_control_scale16_phase4b.cnf,satisfiable_capacity_control,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,UNKNOWN,UNKNOWN,16,16,False,False,0,False,True
expanded,018_satisfiable_capacity_control_scale24_phase4b.cnf,satisfiable_capacity_control,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,UNKNOWN,UNKNOWN,23,1,False,False,0,False,True
expanded,019_satisfiable_capacity_control_scale32_phase4b.cnf,satisfiable_capacity_control,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,UNKNOWN,UNKNOWN,8,1,False,False,0,False,True
expanded,020_hidden_pigeonhole_scale7_phase4b_noise0.cnf,hidden_pigeonhole,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
expanded,021_hidden_pigeonhole_scale7_phase4b_noise100.cnf,hidden_pigeonhole,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
expanded,022_hidden_pigeonhole_scale8_phase4b_noise0.cnf,hidden_pigeonhole,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
expanded,023_hidden_pigeonhole_scale8_phase4b_noise100.cnf,hidden_pigeonhole,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
expanded,024_hidden_pigeonhole_scale9_phase4b_noise0.cnf,hidden_pigeonhole,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
expanded,025_hidden_pigeonhole_scale9_phase4b_noise100.cnf,hidden_pigeonhole,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,UNKNOWN,9,8,True,False,683,False,True
expanded,026_hidden_pigeonhole_scale10_phase4b_noise0.cnf,hidden_pigeonhole,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,UNKNOWN,10,9,True,False,975,False,True
expanded,027_hidden_pigeonhole_scale10_phase4b_noise100.cnf,hidden_pigeonhole,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,UNKNOWN,10,9,True,False,988,False,True
expanded,028_random_3sat_scale150_uniform.cnf,random_3sat,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,UNKNOWN,0,0,False,False,0,False,True
expanded,029_random_3sat_scale400_uniform.cnf,random_3sat,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,UNKNOWN,UNKNOWN,0,0,False,False,0,False,True
expanded,030_random_3sat_scale800_uniform.cnf,random_3sat,TO_VALIDATE,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,UNKNOWN,UNKNOWN,0,0,False,False,0,False,True
expanded,031_random_3sat_scale150_planted_sat.cnf,random_3sat,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,UNKNOWN,UNKNOWN,0,0,False,False,0,False,True
expanded,032_random_3sat_scale400_planted_sat.cnf,random_3sat,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,UNKNOWN,UNKNOWN,0,0,False,False,0,False,True
expanded,033_random_3sat_scale800_planted_sat.cnf,random_3sat,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,UNKNOWN,UNKNOWN,0,0,False,False,0,False,True
