instance,family,lemma_id,clause,length,origin,support,structural_check,structural_ok,implication_verdict,implication_ms,verification_solver,accepted,verification_log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,10,-2 -6,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,19.309817,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00010.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,11,-2 -7,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,19.029871,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00011.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,12,-2 -8,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,17.968877,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00012.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,13,-3 -4,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.01287,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00013.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,14,-3 -5,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.015685,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00014.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,15,-3 -6,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.510318,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00015.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,16,-3 -7,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,9.923903,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00016.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,17,-3 -8,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.129439,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00017.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,18,-4 -5,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,19.217609,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00018.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,19,-4 -6,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.835633,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00019.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,20,-4 -7,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.919526,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00020.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,21,-4 -8,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.791901,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00021.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,22,-5 -6,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,17.986859,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00022.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,23,-5 -7,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.417953,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00023.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,24,-5 -8,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.289319,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00024.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,25,-6 -7,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,20.282614,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00025.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,26,-6 -8,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.330234,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00026.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,27,-7 -8,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,10.618476,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00027.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,28,1 2 3 4 5 6 7 8,8,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,19.37134,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00028.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,29,-9 -10,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,20.472709,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00029.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,30,-9 -11,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,20.935597,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00030.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,31,-9 -12,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,19.434683,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00031.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,32,-9 -13,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,19.828917,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00032.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,33,-9 -14,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.714132,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00033.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,34,-9 -15,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.647093,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00034.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,35,-9 -16,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.943501,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00035.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,36,-10 -11,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.745631,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00036.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,37,-10 -12,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.970907,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00037.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,38,-10 -13,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.89372,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00038.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,39,-10 -14,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,20.19264,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00039.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,40,-10 -15,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,19.003462,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00040.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,41,-10 -16,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.634889,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00041.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,42,-11 -12,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.537827,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00042.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,43,-11 -13,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.284891,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00043.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,44,-11 -14,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.335905,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00044.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,45,-11 -15,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,17.826831,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00045.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,46,-11 -16,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,10.299457,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00046.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,47,-12 -13,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.13858,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00047.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,48,-12 -14,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,17.633938,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00048.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,49,-12 -15,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,9.711645,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00049.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,50,-12 -16,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,17.954864,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00050.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,51,-13 -14,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.262863,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00051.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,52,-13 -15,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.672176,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00052.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,53,-13 -16,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,20.935439,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00053.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,54,-14 -15,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,17.996302,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00054.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,55,-14 -16,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.015703,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00055.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,56,-15 -16,2,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,17.944582,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00056.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,57,9 10 11 12 13 14 15 16,8,exact_r_family,9 10 11 12 13 14 15 16,family_clause_replayed,True,UNSATISFIABLE,18.391425,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00057.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,58,-17 -18,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,18.286985,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00058.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,59,-17 -19,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,9.765738,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00059.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,60,-17 -20,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,9.597525,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00060.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,61,-17 -21,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,17.996468,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00061.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,62,-17 -22,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,17.95418,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00062.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,63,-17 -23,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,17.899609,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00063.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,64,-17 -24,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,18.638612,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00064.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,65,-18 -19,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,18.90746,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00065.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,66,-18 -20,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,18.211989,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00066.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,67,-18 -21,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,18.105049,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00067.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,68,-18 -22,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,18.452955,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00068.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,69,-18 -23,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,18.015821,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00069.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,70,-18 -24,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,18.118943,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00070.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,71,-19 -20,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,18.222923,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00071.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,72,-19 -21,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,18.083773,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00072.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,73,-19 -22,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,18.531126,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00073.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,74,-19 -23,2,exact_r_family,17 18 19 20 21 22 23 24,family_clause_replayed,True,UNSATISFIABLE,18.280207,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00074.log
