instance,source,domain,stratum,declared_result,distinct_definite_answers,modes_solved,modes_run,answer_A_cadical,answer_B_kissat,answer_C_lkk_cadical,answer_D_lkk_kissat,answer_E_lkk_selector,conflicting_answers,disagrees_with_declared,passed
ER_400_20_4.apx_2_DC-AD.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
ER_400_20_4.apx_2_DC-ST.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
ER_400_20_7.apx_1_DC-AD.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
ER_400_20_7.apx_2_DC-AD.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
ER_400_20_7.apx_2_DC-ST.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
ER_500_30_3.apx_1_DC-ST.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
FmlaEquivChain_4_6_6.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
FmlaImplyChain_3_7_7.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
FmlaImplyChain_3_7_8.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Folkman-175-1251868.sanitized.cnf,SATComp2024,competition_main,matching_hall_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Folkman-175-7416734.sanitized.cnf,SATComp2024,competition_main,matching_hall_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Folkman-180-11710376.sanitized.cnf,SATComp2024,competition_main,matching_hall_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Folkman-185-152478531.sanitized.cnf,SATComp2024,competition_main,matching_hall_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Folkman-185-19924337.sanitized.cnf,SATComp2024,competition_main,matching_hall_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Folkman-185-75415683.sanitized.cnf,SATComp2024,competition_main,matching_hall_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Folkman-190-104806020.sanitized.cnf,SATComp2024,competition_main,matching_hall_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Folkman-190-358004741.sanitized.cnf,SATComp2024,competition_main,matching_hall_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Folkman-190-66337703.sanitized.cnf,SATComp2024,competition_main,matching_hall_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
GracefulGraph-K05-P02_c18.cnf,SATComp2024,competition_main,matching_hall_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
HCP-446-105.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
IBM_FV_2004_rule_batch_1_31_1_SAT_dat.k40.debugged.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
ITC2021_Early_10.xml.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
ITC2021_Early_3.xml.cnf,SATComp2024,competition_main,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
ITC2021_Middle_1.xml.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
MASG0_72_keystream76_0.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Ptn-7824-b18.cnf,SATComp2024,competition_main,matching_hall_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
REGRandom-K4-L1-Seed30.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,UNSATISFIABLE,3,5,TIMEOUT,UNSATISFIABLE,TIMEOUT,UNSATISFIABLE,UNSATISFIABLE,False,False,True
REGRandom-K4-L2-Seed35.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
SGI_30_60_19_60_6-dir.shuffled-as.sat03-112.cnf,SATComp2024,competition_main,cardinality_exact_r_heavy,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
StConn_7_128.sanitized.cnf,SATComp2024,competition_main,cardinality_exact_r_heavy,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
StConn_8_32.sanitized.cnf,SATComp2024,competition_main,cardinality_exact_r_heavy,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
VanDerWaerden_2-3-14_186.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
WS_500_16_70_10.apx_1_DC-ST.cnf,SATComp2024,competition_main,resource_allocation_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
WS_500_16_70_10.apx_2_DC-AD.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
WS_500_16_90_70.apx_2_DC-AD.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
af-synthesis_stb_50_100_4_sat.cnf,SATComp2024,competition_main,no_useful_detected_structure,,SATISFIABLE,1,5,SATISFIABLE,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
af-synthesis_stb_50_100_9_sat.cnf,SATComp2024,competition_main,no_useful_detected_structure,,SATISFIABLE,3,5,TIMEOUT,SATISFIABLE,TIMEOUT,SATISFIABLE,SATISFIABLE,False,False,True
af-synthesis_stb_50_100_9_unsat.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
af-synthesis_stb_50_120_4_sat.cnf,SATComp2024,competition_main,no_useful_detected_structure,,SATISFIABLE,2,5,SATISFIABLE,SATISFIABLE,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
af-synthesis_stb_50_140_1_unsat.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
af-synthesis_stb_50_140_3_unsat.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
af-synthesis_stb_50_200_0_unsat.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
af-synthesis_stb_50_200_4_unsat.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
af-synthesis_stb_50_40_2_unsat.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
af-synthesis_stb_50_40_9_unsat.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
aim-100-1_6-no-1.cnf,SATLIB,crafted_structured,cardinality_exact_r_heavy,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-100-1_6-no-2.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-100-1_6-no-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-100-1_6-yes1-1.cnf,SATLIB,crafted_structured,cardinality_exact_r_heavy,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-1_6-yes1-2.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-1_6-yes1-3.cnf,SATLIB,crafted_structured,cardinality_exact_r_heavy,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-1_6-yes1-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-2_0-no-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-100-2_0-no-2.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-100-2_0-no-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-100-2_0-no-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-100-2_0-yes1-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-2_0-yes1-2.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-2_0-yes1-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-2_0-yes1-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-3_4-yes1-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-3_4-yes1-2.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-3_4-yes1-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-3_4-yes1-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-6_0-yes1-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-6_0-yes1-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-100-6_0-yes1-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-1_6-no-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-200-1_6-no-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-200-1_6-no-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-200-1_6-yes1-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-1_6-yes1-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-1_6-yes1-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-2_0-no-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-200-2_0-no-2.cnf,SATLIB,crafted_structured,cardinality_exact_r_heavy,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-200-2_0-no-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-200-2_0-no-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-200-2_0-yes1-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-2_0-yes1-2.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-2_0-yes1-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-3_4-yes1-2.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-3_4-yes1-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-3_4-yes1-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-6_0-yes1-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-6_0-yes1-2.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-6_0-yes1-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-200-6_0-yes1-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-50-1_6-no-2.cnf,SATLIB,crafted_structured,cardinality_exact_r_heavy,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-50-1_6-no-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-50-1_6-yes1-1.cnf,SATLIB,crafted_structured,cardinality_exact_r_heavy,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-50-1_6-yes1-2.cnf,SATLIB,crafted_structured,cardinality_exact_r_heavy,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-50-1_6-yes1-3.cnf,SATLIB,crafted_structured,cardinality_exact_r_heavy,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-50-1_6-yes1-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-50-2_0-no-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-50-2_0-no-2.cnf,SATLIB,crafted_structured,cardinality_exact_r_heavy,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-50-2_0-no-3.cnf,SATLIB,crafted_structured,cardinality_exact_r_heavy,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-50-2_0-no-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
aim-50-2_0-yes1-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-50-2_0-yes1-2.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-50-2_0-yes1-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
